,battingteam,bowlingteam,matchid,batsmanname,SR
149,Delhi Capitals,Royal Challengers Bangalore,1254079,SO Hetmyer,212.0
573,Royal Challengers Bangalore,Delhi Capitals,1254079,V Kohli,118.1818181818182
148,Delhi Capitals,Royal Challengers Bangalore,1254079,S Dhawan,85.71428571428571
147,Delhi Capitals,Royal Challengers Bangalore,1254079,RR Pant,125.0
647,Sunrisers Hyderabad,Chennai Super Kings,1254080,MK Pandey,139.1304347826087
76,Chennai Super Kings,Sunrisers Hyderabad,1254080,Suresh Raina,113.33333333333331
72,Chennai Super Kings,Sunrisers Hyderabad,1254080,AS Raut,168.88888888888889
645,Sunrisers Hyderabad,Chennai Super Kings,1254080,KM Jadhav,300.0
74,Chennai Super Kings,Sunrisers Hyderabad,1254080,MM Ali,177.77777777777777
73,Chennai Super Kings,Sunrisers Hyderabad,1254080,F du Plessis,147.36842105263156
646,Sunrisers Hyderabad,Chennai Super Kings,1254080,KS Williamson,260.0
75,Chennai Super Kings,Sunrisers Hyderabad,1254080,RA Jadeja,133.33333333333331
643,Sunrisers Hyderabad,Chennai Super Kings,1254080,DA Warner,107.01754385964912
644,Sunrisers Hyderabad,Chennai Super Kings,1254080,JM Bairstow,133.33333333333331
494,Rajasthan Royals,Mumbai Indians,1254081,DA Miller,175.0
330,Mumbai Indians,Rajasthan Royals,1254081,RG Sharma,88.23529411764706
497,Rajasthan Royals,Mumbai Indians,1254081,S Dube,119.35483870967742
496,Rajasthan Royals,Mumbai Indians,1254081,R Parag,150.0
499,Rajasthan Royals,Mumbai Indians,1254081,Yashasvi Jaiswal,160.0
495,Rajasthan Royals,Mumbai Indians,1254081,JC Buttler,134.375
329,Mumbai Indians,Rajasthan Royals,1254081,Q de Kock,160.0
331,Mumbai Indians,Rajasthan Royals,1254081,SA Yadav,160.0
328,Mumbai Indians,Rajasthan Royals,1254081,KH Pandya,151.85185185185185
327,Mumbai Indians,Rajasthan Royals,1254081,KA Pollard,250.0
498,Rajasthan Royals,Mumbai Indians,1254081,SV Samson,153.57142857142858
183,Kolkata Knight Riders,Delhi Capitals,1254082,N Rana,125.0
91,Delhi Capitals,Kolkata Knight Riders,1254082,SO Hetmyer,0.0
180,Kolkata Knight Riders,Delhi Capitals,1254082,AD Russell,166.66666666666669
181,Kolkata Knight Riders,Delhi Capitals,1254082,EJG Morgan,50.0
182,Kolkata Knight Riders,Delhi Capitals,1254082,KD Karthik,140.0
90,Delhi Capitals,Kolkata Knight Riders,1254082,S Dhawan,100.0
184,Kolkata Knight Riders,Delhi Capitals,1254082,PJ Cummins,114.28571428571428
185,Kolkata Knight Riders,Delhi Capitals,1254082,RA Tripathi,111.76470588235294
87,Delhi Capitals,Kolkata Knight Riders,1254082,MP Stoinis,200.0
89,Delhi Capitals,Kolkata Knight Riders,1254082,RR Pant,200.0
187,Kolkata Knight Riders,Delhi Capitals,1254082,Shubman Gill,115.78947368421052
88,Delhi Capitals,Kolkata Knight Riders,1254082,PP Shaw,204.7619047619048
186,Kolkata Knight Riders,Delhi Capitals,1254082,SP Narine,0.0
618,Royal Challengers Bangalore,Punjab Kings,1254083,S Ahmed,81.81818181818183
423,Punjab Kings,Royal Challengers Bangalore,1254083,CH Gayle,188.0
426,Punjab Kings,Royal Challengers Bangalore,1254083,KL Rahul,163.1578947368421
427,Punjab Kings,Royal Challengers Bangalore,1254083,N Pooran,33.33333333333333
428,Punjab Kings,Royal Challengers Bangalore,1254083,Prabhsimran Singh,100.0
429,Punjab Kings,Royal Challengers Bangalore,1254083,Shahrukh Khan,0.0
425,Punjab Kings,Royal Challengers Bangalore,1254083,H Brar,152.94117647058823
610,Royal Challengers Bangalore,Punjab Kings,1254083,AB de Villiers,33.33333333333333
424,Punjab Kings,Royal Challengers Bangalore,1254083,DJ Hooda,55.55555555555556
619,Royal Challengers Bangalore,Punjab Kings,1254083,V Kohli,108.8235294117647
617,Royal Challengers Bangalore,Punjab Kings,1254083,Rajat Patidar,115.625
616,Royal Challengers Bangalore,Punjab Kings,1254083,M Siraj,0.0
615,Royal Challengers Bangalore,Punjab Kings,1254083,Kyle Jamieson,163.63636363636363
612,Royal Challengers Bangalore,Punjab Kings,1254083,Devdutt Padikkal,116.66666666666669
611,Royal Challengers Bangalore,Punjab Kings,1254083,D Sams,75.0
614,Royal Challengers Bangalore,Punjab Kings,1254083,HV Patel,238.46153846153845
613,Royal Challengers Bangalore,Punjab Kings,1254083,GJ Maxwell,0.0
25,Chennai Super Kings,Mumbai Indians,1254084,F du Plessis,178.57142857142858
259,Mumbai Indians,Chennai Super Kings,1254084,JDS Neesham,0.0
260,Mumbai Indians,Chennai Super Kings,1254084,KA Pollard,255.55555555555557
28,Chennai Super Kings,Mumbai Indians,1254084,Suresh Raina,50.0
258,Mumbai Indians,Chennai Super Kings,1254084,HH Pandya,228.57142857142856
27,Chennai Super Kings,Mumbai Indians,1254084,RA Jadeja,112.0
262,Mumbai Indians,Chennai Super Kings,1254084,Q de Kock,134.48275862068965
23,Chennai Super Kings,Mumbai Indians,1254084,AS Raut,100.0
263,Mumbai Indians,Chennai Super Kings,1254084,RG Sharma,148.0
264,Mumbai Indians,Chennai Super Kings,1254084,SA Yadav,100.0
26,Chennai Super Kings,Mumbai Indians,1254084,MM Ali,166.66666666666669
24,Chennai Super Kings,Mumbai Indians,1254084,AT Rayudu,284.61538461538464
261,Mumbai Indians,Chennai Super Kings,1254084,KH Pandya,139.1304347826087
721,Sunrisers Hyderabad,Rajasthan Royals,1254085,MK Pandey,165.0
720,Sunrisers Hyderabad,Rajasthan Royals,1254085,M Nabi,340.0
719,Sunrisers Hyderabad,Rajasthan Royals,1254085,KS Williamson,95.45454545454544
539,Rajasthan Royals,Sunrisers Hyderabad,1254085,JC Buttler,201.53846153846155
717,Sunrisers Hyderabad,Rajasthan Royals,1254085,JM Bairstow,142.85714285714286
718,Sunrisers Hyderabad,Rajasthan Royals,1254085,KM Jadhav,105.0
723,Sunrisers Hyderabad,Rajasthan Royals,1254085,Rashid Khan,33.33333333333333
538,Rajasthan Royals,Sunrisers Hyderabad,1254085,DA Miller,233.33333333333331
542,Rajasthan Royals,Sunrisers Hyderabad,1254085,Yashasvi Jaiswal,123.07692307692308
541,Rajasthan Royals,Sunrisers Hyderabad,1254085,SV Samson,150.0
725,Sunrisers Hyderabad,Rajasthan Royals,1254085,V Shankar,100.0
716,Sunrisers Hyderabad,Rajasthan Royals,1254085,A Samad,133.33333333333331
540,Rajasthan Royals,Sunrisers Hyderabad,1254085,R Parag,187.5
724,Sunrisers Hyderabad,Rajasthan Royals,1254085,Sandeep Sharma,133.33333333333331
722,Sunrisers Hyderabad,Rajasthan Royals,1254085,P Kumar,140.0
377,Punjab Kings,Delhi Capitals,1254086,Dawid Malan,103.84615384615384
380,Punjab Kings,Delhi Capitals,1254086,Prabhsimran Singh,75.0
381,Punjab Kings,Delhi Capitals,1254086,Shahrukh Khan,80.0
379,Punjab Kings,Delhi Capitals,1254086,MA Agarwal,170.68965517241378
378,Punjab Kings,Delhi Capitals,1254086,H Brar,266.66666666666663
125,Delhi Capitals,Punjab Kings,1254086,SO Hetmyer,450.0
123,Delhi Capitals,Punjab Kings,1254086,RR Pant,127.27272727272728
126,Delhi Capitals,Punjab Kings,1254086,SPD Smith,113.63636363636364
124,Delhi Capitals,Punjab Kings,1254086,S Dhawan,151.06382978723406
122,Delhi Capitals,Punjab Kings,1254086,PP Shaw,177.27272727272728
375,Punjab Kings,Delhi Capitals,1254086,CJ Jordan,66.66666666666666
374,Punjab Kings,Delhi Capitals,1254086,CH Gayle,144.44444444444443
376,Punjab Kings,Delhi Capitals,1254086,DJ Hooda,100.0
588,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,Srikar Bharat,105.88235294117648
581,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,AB de Villiers,0.0
589,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,V Kohli,120.0
582,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,Devdutt Padikkal,110.0
587,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,Sachin Baby,47.05882352941176
586,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,M Siraj,80.0
590,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,Wanindu Hasaranga de Silva,0.0
243,Kolkata Knight Riders,Royal Challengers Bangalore,1254087,Shubman Gill,148.57142857142858
584,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,HV Patel,120.0
591,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,YS Chahal,50.0
244,Kolkata Knight Riders,Royal Challengers Bangalore,1254087,Venkatesh Iyer,155.55555555555557
585,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,Kyle Jamieson,41.66666666666667
583,Royal Challengers Bangalore,Kolkata Knight Riders,1254087,GJ Maxwell,58.82352941176471
468,Rajasthan Royals,Chennai Super Kings,1254089,S Dube,160.46511627906978
58,Chennai Super Kings,Rajasthan Royals,1254089,RA Jadeja,226.66666666666663
467,Rajasthan Royals,Chennai Super Kings,1254089,Glenn Phillips,187.5
59,Chennai Super Kings,Rajasthan Royals,1254089,Suresh Raina,60.0
466,Rajasthan Royals,Chennai Super Kings,1254089,Evin Lewis,225.0
470,Rajasthan Royals,Chennai Super Kings,1254089,Yashasvi Jaiswal,238.0952380952381
57,Chennai Super Kings,Rajasthan Royals,1254089,MM Ali,122.22222222222224
56,Chennai Super Kings,Rajasthan Royals,1254089,F du Plessis,131.57894736842107
54,Chennai Super Kings,Rajasthan Royals,1254089,AS Raut,168.85245901639345
55,Chennai Super Kings,Rajasthan Royals,1254089,AT Rayudu,50.0
469,Rajasthan Royals,Chennai Super Kings,1254089,SV Samson,120.83333333333331
435,Punjab Kings,Royal Challengers Bangalore,1254090,N Pooran,42.85714285714285
430,Punjab Kings,Royal Challengers Bangalore,1254090,Aiden Markram,142.85714285714286
624,Royal Challengers Bangalore,Punjab Kings,1254090,George Garton,0.0
623,Royal Challengers Bangalore,Punjab Kings,1254090,GJ Maxwell,184.84848484848484
622,Royal Challengers Bangalore,Punjab Kings,1254090,Devdutt Padikkal,113.1578947368421
621,Royal Challengers Bangalore,Punjab Kings,1254090,Dan Christian,0.0
620,Royal Challengers Bangalore,Punjab Kings,1254090,AB de Villiers,133.33333333333331
436,Punjab Kings,Royal Challengers Bangalore,1254090,SN Khan,0.0
626,Royal Challengers Bangalore,Punjab Kings,1254090,S Ahmed,200.0
431,Punjab Kings,Royal Challengers Bangalore,1254090,H Brar,150.0
437,Punjab Kings,Royal Challengers Bangalore,1254090,Shahrukh Khan,154.54545454545453
432,Punjab Kings,Royal Challengers Bangalore,1254090,KL Rahul,114.28571428571428
434,Punjab Kings,Royal Challengers Bangalore,1254090,Moises Henriques,133.33333333333331
625,Royal Challengers Bangalore,Punjab Kings,1254090,HV Patel,100.0
433,Punjab Kings,Royal Challengers Bangalore,1254090,MA Agarwal,143.1818181818182
627,Royal Challengers Bangalore,Punjab Kings,1254090,V Kohli,108.0
81,Chennai Super Kings,Sunrisers Hyderabad,1254091,MS Dhoni,125.0
80,Chennai Super Kings,Sunrisers Hyderabad,1254091,MM Ali,100.0
79,Chennai Super Kings,Sunrisers Hyderabad,1254091,F du Plessis,113.88888888888889
78,Chennai Super Kings,Sunrisers Hyderabad,1254091,AT Rayudu,130.76923076923077
77,Chennai Super Kings,Sunrisers Hyderabad,1254091,AS Raut,121.05263157894736
655,Sunrisers Hyderabad,Chennai Super Kings,1254091,Rashid Khan,138.46153846153845
82,Chennai Super Kings,Sunrisers Hyderabad,1254091,Suresh Raina,75.0
648,Sunrisers Hyderabad,Chennai Super Kings,1254091,A Samad,128.57142857142858
649,Sunrisers Hyderabad,Chennai Super Kings,1254091,Abhishek Sharma,146.15384615384613
650,Sunrisers Hyderabad,Chennai Super Kings,1254091,JO Holder,100.0
652,Sunrisers Hyderabad,Chennai Super Kings,1254091,KS Williamson,109.09090909090908
653,Sunrisers Hyderabad,Chennai Super Kings,1254091,P Garg,72.72727272727273
654,Sunrisers Hyderabad,Chennai Super Kings,1254091,P Kumar,100.0
656,Sunrisers Hyderabad,Chennai Super Kings,1254091,WP Saha,102.2222222222222
651,Sunrisers Hyderabad,Chennai Super Kings,1254091,Jason Roy,85.71428571428571
100,Delhi Capitals,Kolkata Knight Riders,1254092,SPD Smith,114.70588235294116
95,Delhi Capitals,Kolkata Knight Riders,1254092,L Yadav,0.0
94,Delhi Capitals,Kolkata Knight Riders,1254092,K Rabada,0.0
194,Kolkata Knight Riders,Delhi Capitals,1254092,Tim Southee,60.0
93,Delhi Capitals,Kolkata Knight Riders,1254092,Avesh Khan,166.66666666666669
92,Delhi Capitals,Kolkata Knight Riders,1254092,AR Patel,33.33333333333333
195,Kolkata Knight Riders,Delhi Capitals,1254092,Venkatesh Iyer,100.0
101,Delhi Capitals,Kolkata Knight Riders,1254092,SS Iyer,33.33333333333333
97,Delhi Capitals,Kolkata Knight Riders,1254092,RR Pant,110.8108108108108
96,Delhi Capitals,Kolkata Knight Riders,1254092,R Ashwin,125.0
98,Delhi Capitals,Kolkata Knight Riders,1254092,S Dhawan,120.0
193,Kolkata Knight Riders,Delhi Capitals,1254092,Shubman Gill,90.9090909090909
