,battingteam,bowlingteam,matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,dreamll_score
2370,Royal Challengers Bangalore,Rajasthan Royals,1136571,P Negi,3,0,0.0,0.0,4,0,0,7.0
2369,Royal Challengers Bangalore,Rajasthan Royals,1136571,Mandeep Singh,48,0,1.0,6.0,25,0,0,60.0
2368,Royal Challengers Bangalore,Rajasthan Royals,1136571,CR Woakes,0,1,0.0,0.0,1,0,0,2.0
2367,Royal Challengers Bangalore,Rajasthan Royals,1136571,BB McCullum,4,0,0.0,1.0,4,0,0,9.0
2366,Royal Challengers Bangalore,Rajasthan Royals,1136571,AB de Villiers,21,0,1.0,1.0,18,0,0,28.0
2371,Royal Challengers Bangalore,Rajasthan Royals,1136571,Q de Kock,27,0,0.0,4.0,19,0,0,35.0
2372,Royal Challengers Bangalore,Rajasthan Royals,1136571,V Kohli,58,0,2.0,7.0,31,1,0,81.0
2035,Rajasthan Royals,Royal Challengers Bangalore,1136571,JC Buttler,28,0,1.0,3.0,15,0,0,37.0
2037,Rajasthan Royals,Royal Challengers Bangalore,1136571,SV Samson,94,0,10.0,2.0,46,1,0,128.0
2034,Rajasthan Royals,Royal Challengers Bangalore,1136571,DJM Short,12,0,0.0,1.0,18,0,0,17.0
2033,Rajasthan Royals,Royal Challengers Bangalore,1136571,BA Stokes,29,0,1.0,2.0,22,0,0,37.0
2032,Rajasthan Royals,Royal Challengers Bangalore,1136571,AM Rahane,39,0,1.0,6.0,22,0,0,51.0
2036,Rajasthan Royals,Royal Challengers Bangalore,1136571,RA Tripathi,15,0,1.0,1.0,5,0,0,22.0
49,Chennai Super Kings,Kings XI Punjab,1136572,M Vijay,14,0,1.0,0.0,11,0,0,20.0
689,Kings XI Punjab,Chennai Super Kings,1136572,Yuvraj Singh,20,0,1.0,2.0,13,0,0,28.0
688,Kings XI Punjab,Chennai Super Kings,1136572,R Ashwin,14,0,1.0,0.0,11,0,0,20.0
50,Chennai Super Kings,Kings XI Punjab,1136572,MS Dhoni,83,0,5.0,6.0,47,1,0,111.0
53,Chennai Super Kings,Kings XI Punjab,1136572,SW Billings,9,0,0.0,1.0,8,0,0,14.0
687,Kings XI Punjab,Chennai Super Kings,1136572,MA Agarwal,30,0,2.0,1.0,19,0,0,39.0
48,Chennai Super Kings,Kings XI Punjab,1136572,DJ Bravo,1,0,0.0,0.0,1,0,0,5.0
52,Chennai Super Kings,Kings XI Punjab,1136572,SR Watson,14,0,0.0,2.0,10,0,0,20.0
47,Chennai Super Kings,Kings XI Punjab,1136572,AT Rayudu,51,0,1.0,5.0,37,1,0,70.0
685,Kings XI Punjab,Chennai Super Kings,1136572,KK Nair,29,0,1.0,2.0,17,0,0,37.0
684,Kings XI Punjab,Chennai Super Kings,1136572,CH Gayle,64,0,4.0,7.0,34,1,0,91.0
686,Kings XI Punjab,Chennai Super Kings,1136572,KL Rahul,37,0,0.0,7.0,22,0,0,48.0
682,Kings XI Punjab,Chennai Super Kings,1136572,AJ Finch,0,1,0.0,0.0,1,0,0,2.0
51,Chennai Super Kings,Kings XI Punjab,1136572,RA Jadeja,21,0,1.0,1.0,15,0,0,28.0
683,Kings XI Punjab,Chennai Super Kings,1136572,AJ Tye,3,0,0.0,0.0,4,0,0,7.0
1038,Kolkata Knight Riders,Delhi Daredevils,1136573,CA Lynn,31,0,1.0,4.0,29,0,0,41.0
621,Delhi Daredevils,Kolkata Knight Riders,1136573,GJ Maxwell,48,0,4.0,3.0,22,0,0,63.0
620,Delhi Daredevils,Kolkata Knight Riders,1136573,G Gambhir,8,0,0.0,1.0,7,0,0,13.0
622,Delhi Daredevils,Kolkata Knight Riders,1136573,JJ Roy,2,0,0.0,0.0,4,0,0,6.0
623,Delhi Daredevils,Kolkata Knight Riders,1136573,Mohammed Shami,7,0,0.0,1.0,6,0,0,12.0
624,Delhi Daredevils,Kolkata Knight Riders,1136573,R Tewatia,1,0,0.0,0.0,2,0,0,5.0
625,Delhi Daredevils,Kolkata Knight Riders,1136573,RR Pant,49,0,1.0,7.0,30,0,0,62.0
626,Delhi Daredevils,Kolkata Knight Riders,1136573,S Nadeem,6,0,0.0,0.0,8,0,0,10.0
627,Delhi Daredevils,Kolkata Knight Riders,1136573,SS Iyer,4,0,0.0,1.0,3,0,0,9.0
628,Delhi Daredevils,Kolkata Knight Riders,1136573,TA Boult,0,1,0.0,0.0,2,0,0,2.0
629,Delhi Daredevils,Kolkata Knight Riders,1136573,V Shankar,2,0,0.0,0.0,4,0,0,6.0
619,Delhi Daredevils,Kolkata Knight Riders,1136573,CH Morris,2,0,0.0,0.0,3,0,0,6.0
1037,Kolkata Knight Riders,Delhi Daredevils,1136573,AD Russell,41,0,6.0,0.0,12,0,0,57.0
1045,Kolkata Knight Riders,Delhi Daredevils,1136573,TK Curran,2,0,0.0,0.0,3,0,0,6.0
1044,Kolkata Knight Riders,Delhi Daredevils,1136573,Shubman Gill,10,0,0.0,2.0,5,0,0,16.0
1042,Kolkata Knight Riders,Delhi Daredevils,1136573,RV Uthappa,35,0,3.0,2.0,19,0,0,47.0
1041,Kolkata Knight Riders,Delhi Daredevils,1136573,PP Chawla,0,1,0.0,0.0,3,0,0,2.0
1040,Kolkata Knight Riders,Delhi Daredevils,1136573,N Rana,60,0,4.0,5.0,36,1,0,85.0
1039,Kolkata Knight Riders,Delhi Daredevils,1136573,KD Karthik,20,0,1.0,2.0,11,0,0,28.0
1043,Kolkata Knight Riders,Delhi Daredevils,1136573,SP Narine,1,0,0.0,0.0,4,0,0,5.0
1562,Mumbai Indians,Royal Challengers Bangalore,1136574,KH Pandya,16,0,1.0,1.0,13,0,0,23.0
2299,Royal Challengers Bangalore,Mumbai Indians,1136574,V Kohli,93,0,4.0,7.0,62,1,0,120.0
2298,Royal Challengers Bangalore,Mumbai Indians,1136574,UT Yadav,1,0,0.0,0.0,2,0,0,5.0
2291,Royal Challengers Bangalore,Mumbai Indians,1136574,AB de Villiers,1,0,0.0,0.0,2,0,0,5.0
2297,Royal Challengers Bangalore,Mumbai Indians,1136574,SN Khan,5,0,0.0,1.0,6,0,0,10.0
2296,Royal Challengers Bangalore,Mumbai Indians,1136574,Q de Kock,21,0,1.0,2.0,13,0,0,29.0
2295,Royal Challengers Bangalore,Mumbai Indians,1136574,Mohammed Siraj,8,0,1.0,0.0,3,0,0,14.0
2294,Royal Challengers Bangalore,Mumbai Indians,1136574,Mandeep Singh,19,0,0.0,1.0,16,0,0,24.0
2293,Royal Challengers Bangalore,Mumbai Indians,1136574,CR Woakes,11,0,1.0,0.0,11,0,0,17.0
2292,Royal Challengers Bangalore,Mumbai Indians,1136574,CJ Anderson,0,1,0.0,0.0,1,0,0,2.0
1565,Mumbai Indians,Royal Challengers Bangalore,1136574,SA Yadav,0,1,0.0,0.0,1,0,0,2.0
1564,Mumbai Indians,Royal Challengers Bangalore,1136574,RG Sharma,97,0,5.0,10.0,54,1,0,129.0
1563,Mumbai Indians,Royal Challengers Bangalore,1136574,MJ McClenaghan,2,0,0.0,0.0,1,0,0,6.0
1561,Mumbai Indians,Royal Challengers Bangalore,1136574,KA Pollard,6,0,0.0,0.0,8,0,0,10.0
1560,Mumbai Indians,Royal Challengers Bangalore,1136574,Ishan Kishan,0,1,0.0,0.0,1,0,0,2.0
2300,Royal Challengers Bangalore,Mumbai Indians,1136574,Washington Sundar,8,0,0.0,1.0,8,0,0,13.0
1558,Mumbai Indians,Royal Challengers Bangalore,1136574,E Lewis,75,0,5.0,6.0,44,1,0,103.0
1559,Mumbai Indians,Royal Challengers Bangalore,1136574,HH Pandya,17,0,2.0,1.0,5,0,0,26.0
1153,Kolkata Knight Riders,Rajasthan Royals,1136575,CA Lynn,0,1,0.0,0.0,2,0,0,2.0
1915,Rajasthan Royals,Kolkata Knight Riders,1136575,BA Stokes,14,0,1.0,0.0,11,0,0,20.0
1921,Rajasthan Royals,Kolkata Knight Riders,1136575,S Gopal,0,1,0.0,0.0,1,0,0,2.0
1156,Kolkata Knight Riders,Rajasthan Royals,1136575,RV Uthappa,49,0,2.0,6.0,37,0,0,63.0
1157,Kolkata Knight Riders,Rajasthan Royals,1136575,SP Narine,36,0,1.0,5.0,25,0,0,47.0
1914,Rajasthan Royals,Kolkata Knight Riders,1136575,AM Rahane,36,0,1.0,5.0,19,0,0,47.0
1920,Rajasthan Royals,Kolkata Knight Riders,1136575,RA Tripathi,15,0,0.0,2.0,11,0,0,21.0
1155,Kolkata Knight Riders,Rajasthan Royals,1136575,N Rana,36,0,1.0,2.0,28,0,0,44.0
1154,Kolkata Knight Riders,Rajasthan Royals,1136575,KD Karthik,42,0,2.0,2.0,23,0,0,52.0
1922,Rajasthan Royals,Kolkata Knight Riders,1136575,SV Samson,7,0,0.0,1.0,8,0,0,12.0
1918,Rajasthan Royals,Kolkata Knight Riders,1136575,JC Buttler,28,0,0.0,2.0,21,0,0,34.0
1917,Rajasthan Royals,Kolkata Knight Riders,1136575,DS Kulkarni,3,0,0.0,0.0,3,0,0,7.0
1916,Rajasthan Royals,Kolkata Knight Riders,1136575,DJM Short,45,0,1.0,5.0,43,0,0,56.0
1919,Rajasthan Royals,Kolkata Knight Riders,1136575,K Gowtham,12,0,1.0,0.0,7,0,0,18.0
902,Kings XI Punjab,Sunrisers Hyderabad,1136576,MA Agarwal,18,0,1.0,2.0,9,0,0,26.0
