battingteam,bowlingteam,matchid,batsmanname,0
Chennai Super Kings,Kolkata Knight Riders,1136565,AT Rayudu,150.0
Chennai Super Kings,Kolkata Knight Riders,1136565,DJ Bravo,240.0
Chennai Super Kings,Kolkata Knight Riders,1136565,MS Dhoni,93.33333333333333
Chennai Super Kings,Kolkata Knight Riders,1136565,RA Jadeja,150.0
Chennai Super Kings,Kolkata Knight Riders,1136565,SK Raina,116.66666666666667
Chennai Super Kings,Kolkata Knight Riders,1136565,SR Watson,221.0526315789474
Chennai Super Kings,Kolkata Knight Riders,1136565,SW Billings,252.17391304347828
Chennai Super Kings,Kolkata Knight Riders,1136593,AT Rayudu,123.52941176470588
Chennai Super Kings,Kolkata Knight Riders,1136593,F du Plessis,180.0
Chennai Super Kings,Kolkata Knight Riders,1136593,MS Dhoni,172.0
Chennai Super Kings,Kolkata Knight Riders,1136593,RA Jadeja,128.57142857142858
Chennai Super Kings,Kolkata Knight Riders,1136593,SK Raina,118.5185185185185
Chennai Super Kings,Kolkata Knight Riders,1136593,SR Watson,144.0
Chennai Super Kings,Kolkata Knight Riders,1178398,AT Rayudu,70.96774193548387
Chennai Super Kings,Kolkata Knight Riders,1178398,F du Plessis,104.34782608695652
Chennai Super Kings,Kolkata Knight Riders,1178398,KM Jadhav,112.5
Chennai Super Kings,Kolkata Knight Riders,1178398,SK Raina,107.14285714285714
Chennai Super Kings,Kolkata Knight Riders,1178398,SR Watson,188.88888888888889
Chennai Super Kings,Kolkata Knight Riders,1178404,AT Rayudu,50.0
Chennai Super Kings,Kolkata Knight Riders,1178404,F du Plessis,150.0
Chennai Super Kings,Kolkata Knight Riders,1178404,KM Jadhav,166.66666666666669
Chennai Super Kings,Kolkata Knight Riders,1178404,MS Dhoni,123.07692307692308
Chennai Super Kings,Kolkata Knight Riders,1178404,RA Jadeja,177.77777777777777
Chennai Super Kings,Kolkata Knight Riders,1178404,SK Raina,138.0952380952381
Chennai Super Kings,Kolkata Knight Riders,1178404,SR Watson,85.71428571428571
Chennai Super Kings,Kolkata Knight Riders,1216501,AT Rayudu,110.71428571428572
Chennai Super Kings,Kolkata Knight Riders,1216501,F du Plessis,170.0
Chennai Super Kings,Kolkata Knight Riders,1216501,KM Jadhav,58.333333333333336
Chennai Super Kings,Kolkata Knight Riders,1216501,MS Dhoni,100.0
Chennai Super Kings,Kolkata Knight Riders,1216501,RA Jadeja,262.5
Chennai Super Kings,Kolkata Knight Riders,1216501,SM Curran,154.54545454545453
Chennai Super Kings,Kolkata Knight Riders,1216501,SR Watson,126.82926829268293
Chennai Super Kings,Kolkata Knight Riders,1254072,AS Raut,165.0
Chennai Super Kings,Kolkata Knight Riders,1254072,F du Plessis,162.29508196721312
Chennai Super Kings,Kolkata Knight Riders,1254072,MM Ali,230.76923076923075
Chennai Super Kings,Kolkata Knight Riders,1254072,MS Dhoni,211.11111111111111
Chennai Super Kings,Kolkata Knight Riders,1254072,RA Jadeja,600.0
Chennai Super Kings,Kolkata Knight Riders,1254098,AS Raut,142.85714285714286
Chennai Super Kings,Kolkata Knight Riders,1254098,AT Rayudu,110.00000000000001
Chennai Super Kings,Kolkata Knight Riders,1254098,DL Chahar,100.0
Chennai Super Kings,Kolkata Knight Riders,1254098,F du Plessis,146.66666666666666
