,battingteam,bowlingteam,matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,dreamll_score
272,Mumbai Indians,Chennai Super Kings,1254104,RD Chahar,0,1,0.0,0.0,1,0,0,2.0
37,Chennai Super Kings,Mumbai Indians,1254104,Suresh Raina,4,0,0.0,1.0,6,0,0,9.0
36,Chennai Super Kings,Mumbai Indians,1254104,SN Thakur,1,0,0.0,0.0,1,0,0,5.0
35,Chennai Super Kings,Mumbai Indians,1254104,RA Jadeja,33,0,0.0,2.0,36,0,0,39.0
33,Chennai Super Kings,Mumbai Indians,1254104,MM Ali,0,1,0.0,0.0,3,0,0,2.0
32,Chennai Super Kings,Mumbai Indians,1254104,F du Plessis,0,1,0.0,0.0,3,0,0,2.0
31,Chennai Super Kings,Mumbai Indians,1254104,DJ Bravo,24,0,3.0,0.0,9,0,0,34.0
34,Chennai Super Kings,Mumbai Indians,1254104,MS Dhoni,3,0,0.0,0.0,5,0,0,7.0
160,Delhi Capitals,Sunrisers Hyderabad,1254105,SS Iyer,49,0,2.0,2.0,42,0,0,59.0
668,Sunrisers Hyderabad,Delhi Capitals,1254105,JO Holder,11,0,1.0,0.0,9,0,0,17.0
669,Sunrisers Hyderabad,Delhi Capitals,1254105,KM Jadhav,3,0,0.0,0.0,8,0,0,7.0
670,Sunrisers Hyderabad,Delhi Capitals,1254105,KS Williamson,25,0,0.0,2.0,25,0,0,31.0
671,Sunrisers Hyderabad,Delhi Capitals,1254105,MK Pandey,17,0,0.0,1.0,16,0,0,22.0
672,Sunrisers Hyderabad,Delhi Capitals,1254105,P Kumar,7,0,0.0,1.0,4,0,0,12.0
673,Sunrisers Hyderabad,Delhi Capitals,1254105,Rashid Khan,23,0,1.0,2.0,18,0,0,31.0
674,Sunrisers Hyderabad,Delhi Capitals,1254105,Sandeep Sharma,1,0,0.0,0.0,1,0,0,5.0
675,Sunrisers Hyderabad,Delhi Capitals,1254105,WP Saha,19,0,1.0,2.0,17,0,0,27.0
159,Delhi Capitals,Sunrisers Hyderabad,1254105,S Dhawan,42,0,1.0,6.0,37,0,0,54.0
667,Sunrisers Hyderabad,Delhi Capitals,1254105,DA Warner,0,1,0.0,0.0,3,0,0,2.0
666,Sunrisers Hyderabad,Delhi Capitals,1254105,A Samad,28,0,1.0,2.0,21,0,0,36.0
158,Delhi Capitals,Sunrisers Hyderabad,1254105,RR Pant,37,0,2.0,3.0,21,0,0,48.0
157,Delhi Capitals,Sunrisers Hyderabad,1254105,PP Shaw,11,0,0.0,2.0,8,0,0,17.0
450,Punjab Kings,Sunrisers Hyderabad,1254107,DJ Hooda,13,0,0.0,1.0,10,0,0,18.0
714,Sunrisers Hyderabad,Punjab Kings,1254107,Rashid Khan,3,0,0.0,0.0,4,0,0,7.0
713,Sunrisers Hyderabad,Punjab Kings,1254107,P Kumar,4,0,0.0,0.0,4,0,0,8.0
712,Sunrisers Hyderabad,Punjab Kings,1254107,MK Pandey,13,0,0.0,1.0,23,0,0,18.0
711,Sunrisers Hyderabad,Punjab Kings,1254107,KS Williamson,1,0,0.0,0.0,6,0,0,5.0
710,Sunrisers Hyderabad,Punjab Kings,1254107,KM Jadhav,12,0,0.0,0.0,12,0,0,16.0
709,Sunrisers Hyderabad,Punjab Kings,1254107,JO Holder,48,0,5.0,0.0,29,0,0,62.0
708,Sunrisers Hyderabad,Punjab Kings,1254107,DA Warner,2,0,0.0,0.0,3,0,0,6.0
707,Sunrisers Hyderabad,Punjab Kings,1254107,A Samad,1,0,0.0,0.0,2,0,0,5.0
449,Punjab Kings,Sunrisers Hyderabad,1254107,CH Gayle,16,0,0.0,1.0,17,0,0,21.0
455,Punjab Kings,Sunrisers Hyderabad,1254107,Nathan Ellis,13,0,1.0,0.0,12,0,0,19.0
448,Punjab Kings,Sunrisers Hyderabad,1254107,Aiden Markram,29,0,0.0,2.0,32,0,0,35.0
454,Punjab Kings,Sunrisers Hyderabad,1254107,N Pooran,8,0,1.0,0.0,4,0,0,14.0
453,Punjab Kings,Sunrisers Hyderabad,1254107,MA Agarwal,5,0,0.0,0.0,6,0,0,9.0
452,Punjab Kings,Sunrisers Hyderabad,1254107,KL Rahul,21,0,0.0,3.0,21,0,0,28.0
451,Punjab Kings,Sunrisers Hyderabad,1254107,H Brar,20,0,0.0,1.0,19,0,0,25.0
715,Sunrisers Hyderabad,Punjab Kings,1254107,WP Saha,36,0,0.0,1.0,38,0,0,41.0
348,Mumbai Indians,Royal Challengers Bangalore,1254108,RD Chahar,0,1,0.0,0.0,1,0,0,2.0
345,Mumbai Indians,Royal Challengers Bangalore,1254108,KA Pollard,7,0,0.0,0.0,10,0,0,11.0
344,Mumbai Indians,Royal Challengers Bangalore,1254108,JJ Bumrah,5,0,0.0,1.0,6,0,0,10.0
343,Mumbai Indians,Royal Challengers Bangalore,1254108,Ishan Kishan,9,0,0.0,1.0,12,0,0,14.0
349,Mumbai Indians,Royal Challengers Bangalore,1254108,RG Sharma,46,0,1.0,5.0,27,0,0,57.0
350,Mumbai Indians,Royal Challengers Bangalore,1254108,SA Yadav,9,0,0.0,0.0,9,0,0,13.0
351,Mumbai Indians,Royal Challengers Bangalore,1254108,TA Boult,0,1,0.0,0.0,3,0,0,2.0
347,Mumbai Indians,Royal Challengers Bangalore,1254108,Q de Kock,25,0,0.0,4.0,23,0,0,33.0
346,Mumbai Indians,Royal Challengers Bangalore,1254108,KH Pandya,6,0,0.0,0.0,11,0,0,10.0
607,Royal Challengers Bangalore,Mumbai Indians,1254108,S Ahmed,1,0,0.0,0.0,3,0,0,5.0
608,Royal Challengers Bangalore,Mumbai Indians,1254108,Srikar Bharat,34,0,2.0,2.0,25,0,0,44.0
606,Royal Challengers Bangalore,Mumbai Indians,1254108,Kyle Jamieson,2,0,0.0,0.0,2,0,0,6.0
605,Royal Challengers Bangalore,Mumbai Indians,1254108,GJ Maxwell,60,0,3.0,6.0,37,1,0,84.0
604,Royal Challengers Bangalore,Mumbai Indians,1254108,Devdutt Padikkal,0,1,0.0,0.0,4,0,0,2.0
603,Royal Challengers Bangalore,Mumbai Indians,1254108,Dan Christian,1,0,0.0,0.0,3,0,0,5.0
341,Mumbai Indians,Royal Challengers Bangalore,1254108,Adam Milne,0,1,0.0,0.0,1,0,0,2.0
609,Royal Challengers Bangalore,Mumbai Indians,1254108,V Kohli,55,0,3.0,3.0,43,1,0,76.0
602,Royal Challengers Bangalore,Mumbai Indians,1254108,AB de Villiers,12,0,1.0,1.0,7,0,0,19.0
342,Mumbai Indians,Royal Challengers Bangalore,1254108,HH Pandya,4,0,0.0,0.0,7,0,0,8.0
691,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,S Kaul,7,0,0.0,1.0,5,0,0,12.0
690,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,Rashid Khan,8,0,0.0,1.0,6,0,0,13.0
689,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,P Kumar,7,0,0.0,0.0,7,0,0,11.0
688,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,P Garg,21,0,1.0,0.0,31,0,0,27.0
687,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,KS Williamson,26,0,0.0,4.0,21,0,0,34.0
686,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,Jason Roy,11,0,0.0,2.0,12,0,0,17.0
257,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,Venkatesh Iyer,8,0,0.0,0.0,14,0,0,12.0
684,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,Abhishek Sharma,6,0,0.0,0.0,10,0,0,10.0
253,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,KD Karthik,18,0,0.0,3.0,12,0,0,25.0
254,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,N Rana,27,0,0.0,3.0,33,0,0,34.0
692,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,WP Saha,0,1,0.0,0.0,1,0,0,2.0
256,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,Shubman Gill,57,0,0.0,10.0,51,1,0,79.0
255,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,RA Tripathi,7,0,0.0,1.0,6,0,0,12.0
252,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,EJG Morgan,2,0,0.0,0.0,2,0,0,6.0
683,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,A Samad,25,0,3.0,0.0,18,0,0,35.0
685,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,JO Holder,4,0,0.0,0.0,9,0,0,8.0
514,Rajasthan Royals,Punjab Kings,1254111,R Parag,4,0,0.0,0.0,5,0,0,8.0
511,Rajasthan Royals,Punjab Kings,1254111,K Tyagi,2,0,0.0,0.0,3,0,0,6.0
510,Rajasthan Royals,Punjab Kings,1254111,Evin Lewis,37,0,1.0,7.0,21,0,0,50.0
509,Rajasthan Royals,Punjab Kings,1254111,Chetan Sakariya,7,0,0.0,1.0,6,0,0,12.0
508,Rajasthan Royals,Punjab Kings,1254111,CH Morris,5,0,0.0,0.0,5,0,0,9.0
420,Punjab Kings,Rajasthan Royals,1254111,KL Rahul,52,0,2.0,4.0,35,1,0,72.0
421,Punjab Kings,Rajasthan Royals,1254111,MA Agarwal,72,0,2.0,7.0,43,1,0,95.0
422,Punjab Kings,Rajasthan Royals,1254111,N Pooran,32,0,2.0,1.0,22,0,0,41.0
512,Rajasthan Royals,Punjab Kings,1254111,Liam Livingstone,28,0,1.0,2.0,17,0,0,36.0
513,Rajasthan Royals,Punjab Kings,1254111,MK Lomror,44,0,4.0,2.0,18,0,0,58.0
418,Punjab Kings,Rajasthan Royals,1254111,DJ Hooda,0,1,0.0,0.0,2,0,0,2.0
515,Rajasthan Royals,Punjab Kings,1254111,R Tewatia,3,0,0.0,0.0,6,0,0,7.0
516,Rajasthan Royals,Punjab Kings,1254111,SV Samson,4,0,0.0,0.0,5,0,0,8.0
517,Rajasthan Royals,Punjab Kings,1254111,Yashasvi Jaiswal,51,0,2.0,6.0,36,1,0,73.0
419,Punjab Kings,Rajasthan Royals,1254111,F Allen,0,1,0.0,0.0,1,0,0,2.0
417,Punjab Kings,Rajasthan Royals,1254111,Aiden Markram,27,0,1.0,2.0,20,0,0,35.0
286,Mumbai Indians,Delhi Capitals,1254112,AS Yadav,11,0,1.0,1.0,4,0,0,18.0
287,Mumbai Indians,Delhi Capitals,1254112,HH Pandya,18,0,0.0,2.0,18,0,0,24.0
288,Mumbai Indians,Delhi Capitals,1254112,JJ Bumrah,1,0,0.0,0.0,1,0,0,5.0
289,Mumbai Indians,Delhi Capitals,1254112,KA Pollard,9,0,0.0,0.0,11,0,0,13.0
108,Delhi Capitals,Mumbai Indians,1254112,AR Patel,10,0,0.0,1.0,10,0,0,15.0
290,Mumbai Indians,Delhi Capitals,1254112,KH Pandya,13,0,1.0,1.0,15,0,0,20.0
109,Delhi Capitals,Mumbai Indians,1254112,PP Shaw,6,0,0.0,1.0,7,0,0,11.0
110,Delhi Capitals,Mumbai Indians,1254112,R Ashwin,20,0,1.0,0.0,21,0,0,26.0
111,Delhi Capitals,Mumbai Indians,1254112,RR Pant,27,0,1.0,3.0,22,0,0,36.0
113,Delhi Capitals,Mumbai Indians,1254112,SO Hetmyer,15,0,0.0,2.0,8,0,0,21.0
112,Delhi Capitals,Mumbai Indians,1254112,S Dhawan,8,0,1.0,0.0,7,0,0,14.0
115,Delhi Capitals,Mumbai Indians,1254112,SS Iyer,37,0,0.0,2.0,35,0,0,43.0
291,Mumbai Indians,Delhi Capitals,1254112,NM Coulter-Nile,1,0,0.0,0.0,2,0,0,5.0
292,Mumbai Indians,Delhi Capitals,1254112,Q de Kock,19,0,1.0,1.0,18,0,0,26.0
293,Mumbai Indians,Delhi Capitals,1254112,RG Sharma,8,0,0.0,1.0,10,0,0,13.0
294,Mumbai Indians,Delhi Capitals,1254112,SA Yadav,33,0,2.0,2.0,26,0,0,43.0
295,Mumbai Indians,Delhi Capitals,1254112,SS Tiwary,16,0,0.0,1.0,19,0,0,21.0
114,Delhi Capitals,Mumbai Indians,1254112,SPD Smith,9,0,1.0,0.0,8,0,0,15.0
71,Chennai Super Kings,Royal Challengers Bangalore,1254113,Suresh Raina,18,0,1.0,2.0,11,0,0,26.0
563,Royal Challengers Bangalore,Chennai Super Kings,1254113,GJ Maxwell,11,0,1.0,0.0,9,0,0,17.0
564,Royal Challengers Bangalore,Chennai Super Kings,1254113,HV Patel,3,0,0.0,0.0,5,0,0,7.0
565,Royal Challengers Bangalore,Chennai Super Kings,1254113,Tim David,1,0,0.0,0.0,3,0,0,5.0
567,Royal Challengers Bangalore,Chennai Super Kings,1254113,Wanindu Hasaranga de Silva,1,0,0.0,0.0,1,0,0,5.0
66,Chennai Super Kings,Royal Challengers Bangalore,1254113,AS Raut,39,0,1.0,4.0,26,0,0,49.0
67,Chennai Super Kings,Royal Challengers Bangalore,1254113,AT Rayudu,33,0,1.0,3.0,22,0,0,42.0
70,Chennai Super Kings,Royal Challengers Bangalore,1254113,MS Dhoni,11,0,0.0,2.0,9,0,0,17.0
69,Chennai Super Kings,Royal Challengers Bangalore,1254113,MM Ali,24,0,2.0,0.0,19,0,0,32.0
68,Chennai Super Kings,Royal Challengers Bangalore,1254113,F du Plessis,32,0,2.0,2.0,26,0,0,42.0
561,Royal Challengers Bangalore,Chennai Super Kings,1254113,AB de Villiers,13,0,1.0,0.0,11,0,0,19.0
566,Royal Challengers Bangalore,Chennai Super Kings,1254113,V Kohli,54,0,1.0,6.0,41,1,0,74.0
562,Royal Challengers Bangalore,Chennai Super Kings,1254113,Devdutt Padikkal,73,0,3.0,5.0,51,1,0,96.0
