,battingteam,bowlingteam,matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,runs,dreamll_score
173,Chennai Super Kings,Mumbai Indians,1216492,AT Rayudu,146,0,6.0,10.0,48,1,1,70.0,116.0
176,Chennai Super Kings,Mumbai Indians,1216492,MS Dhoni,0,1,0.0,0.0,2,0,0,0.0,-2.0
177,Chennai Super Kings,Mumbai Indians,1216492,RA Jadeja,20,0,0.0,4.0,5,0,0,0.0,4.0
175,Chennai Super Kings,Mumbai Indians,1216492,M Vijay,4,0,0.0,0.0,7,0,0,0.0,0.0
179,Chennai Super Kings,Mumbai Indians,1216492,SR Watson,8,0,0.0,2.0,5,0,0,0.0,2.0
185,Chennai Super Kings,Mumbai Indians,1254084,Suresh Raina,2,0,0.0,0.0,4,0,0,0.0,0.0
184,Chennai Super Kings,Mumbai Indians,1254084,RA Jadeja,28,0,0.0,2.0,25,0,0,0.0,2.0
183,Chennai Super Kings,Mumbai Indians,1254084,MM Ali,60,0,5.0,5.0,36,1,0,10.0,33.0
182,Chennai Super Kings,Mumbai Indians,1254084,F du Plessis,50,0,4.0,2.0,28,1,0,18.0,36.0
181,Chennai Super Kings,Mumbai Indians,1254084,AT Rayudu,74,0,6.0,4.0,26,1,0,22.0,46.0
180,Chennai Super Kings,Mumbai Indians,1254084,AS Raut,4,0,0.0,1.0,4,0,0,0.0,1.0
186,Chennai Super Kings,Mumbai Indians,1254104,AS Raut,90,0,4.0,9.0,58,1,0,30.0,55.0
187,Chennai Super Kings,Mumbai Indians,1254104,AT Rayudu,1,0,0.0,0.0,3,0,0,0.0,0.0
191,Chennai Super Kings,Mumbai Indians,1254104,MS Dhoni,3,0,0.0,0.0,5,0,0,0.0,0.0
192,Chennai Super Kings,Mumbai Indians,1254104,RA Jadeja,33,0,0.0,2.0,36,0,0,0.0,2.0
190,Chennai Super Kings,Mumbai Indians,1254104,MM Ali,0,1,0.0,0.0,3,0,0,0.0,-2.0
189,Chennai Super Kings,Mumbai Indians,1254104,F du Plessis,0,1,0.0,0.0,3,0,0,0.0,-2.0
188,Chennai Super Kings,Mumbai Indians,1254104,DJ Bravo,24,0,3.0,0.0,9,0,0,0.0,6.0
193,Chennai Super Kings,Mumbai Indians,1254104,SN Thakur,1,0,0.0,0.0,1,0,0,0.0,0.0
194,Chennai Super Kings,Mumbai Indians,1254104,Suresh Raina,4,0,0.0,1.0,6,0,0,0.0,1.0
